ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"203.24.103.131","elite","AS209242","VG","Cloudflare London, LLC","12","Anaga Consulting Limited","80","socks4","4095","1","2023-07-12T06:24:17.848Z","100","2777","2778"
"80.232.245.122","elite","AS12578","LV","LATTELEKOM","44","Bridge Group","8080","socks4","4915","1","2023-07-12T06:24:17.855Z","100","2758","2761"
"14.63.1.108","elite","AS4766","KR","Korea Telecom","234","Kornet","4145","socks4","1797","1","2023-07-12T06:24:17.852Z","100","2741","2743"
"180.158.149.28","elite","AS4812","CN","China Telecom (Group)","228","Chinanet SH","2080","socks5","4700","1","2023-07-12T06:24:12.538Z","45","1277","2825"
"177.12.176.250","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","193","Linkli Telecomunicacoes Ltda","4153","socks4","4989","1","2023-07-12T06:24:12.535Z","100","2818","2824"
"102.66.232.126","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","289","Herotel","5678","socks4","4299","1","2023-07-12T06:24:12.540Z","44","1225","2796"
"103.209.230.193","elite","AS135115","BD","WIMS1","189","N/A","4153","socks4","4795","1","2023-07-12T06:24:12.541Z","99","2823","2849"
"203.150.145.95","elite","AS4618","TH","Internet Thailand Company Ltd","183","INEXT Broadband Company Limited","8080","socks5","4412","1","2023-07-12T06:24:12.642Z","100","2731","2733"
"185.81.96.226","elite","AS201227","IR","Mizban Dade Pasargad","102","Mizban Dade Pasargad LLC","9999","socks5","4704","1","2023-07-12T06:24:12.643Z","93","2545","2745"
"104.16.143.127","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4504","1","2023-07-12T06:24:12.543Z","100","2768","2768"
"197.234.13.34","elite","AS36902","SC","Intelvision","200","Intelvision Ltd","4145","socks4","4706","1","2023-07-12T06:24:12.437Z","100","2849","2859"
"103.132.54.54","elite","AS138123","ID","PT. ADEAKSA INDO JAYATAMA","197","Dexa","1080","socks4","4994","1","2023-07-12T06:24:07.249Z","99","2827","2857"
"182.54.148.1","elite","AS134014","IN","NET 4 U SERVICES","192","N/A","4145","socks4","1604","82","2023-07-12T06:24:07.239Z","90","2476","2737"
"103.81.117.122","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","183","Excogitate Technologies Pvt Ltd","4153","socks4","4799","1","2023-07-12T06:24:07.147Z","97","2776","2855"
"103.113.152.58","elite","AS45766","BD","Md Ziaul Huque","193","N/A","5678","socks4","3302","1","2023-07-12T06:24:07.149Z","98","2794","2847"
"5.160.168.134","elite","AS42337","IR","Respina Networks & Beyond PJSC","104","Respina","5678","socks4","4399","1","2023-07-12T06:24:07.235Z","97","2643","2738"
"159.65.242.254","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","7497","socks5","4801","81","2023-07-12T06:24:07.238Z","97","2730","2824"
"45.112.125.57","elite","AS58369","ID","FIBERNET","163","N/A","4145","socks4","5104","1","2023-07-12T06:24:07.145Z","99","2802","2833"
"148.251.232.232","elite","AS24940","DE","Hetzner Online GmbH","82","Hetzner","30064","socks4","4198","8","2023-07-12T06:24:01.638Z","100","2841","2843"
"93.171.224.47","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","82","PE TV and Radio Company Kentavr-TV","4153","socks4","3888","1","2023-07-12T06:24:01.741Z","99","2802","2825"
"178.128.119.195","elite","AS14061","SG","DigitalOcean, LLC","178","Digitalocean","3128","socks4","4699","1","2023-07-12T06:24:01.637Z","100","2804","2805"
"190.96.18.88","elite","AS14259","CL","Gtd Internet S.A.","282","Manquehuenet","5678","socks4","4585","1","2023-07-12T06:23:56.340Z","98","2796","2848"
"154.66.108.9","elite","AS37642","LS","Comnet Pty Ltd","288","ISPClients","10081","socks4","4502","1","2023-07-12T06:23:56.338Z","99","2833","2850"
"212.69.12.41","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","37","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4787","1","2023-07-12T06:23:56.348Z","100","2838","2838"
"222.134.135.254","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","187","N/A","7302","socks5","4504","1","2023-07-12T06:23:56.339Z","80","2218","2780"
"95.85.254.138","elite","AS43708","CZ","METRONET s.r.o.","99","Metronet","5678","socks4","4596","1","2023-07-12T06:23:56.346Z","70","1961","2798"
"203.13.32.193","elite","AS209242","CY","Cloudflare London, LLC","100","Lachtaristo Holdings Limited","80","socks4","4998","1","2023-07-12T06:23:56.345Z","100","2839","2840"
"143.202.226.31","elite","AS262346","BR","FP Telecomunicacoes Ltda","211","FP Telecomunicacoes Ltda","4145","socks4","3204","1","2023-07-12T06:23:51.039Z","78","2224","2855"
"202.152.51.44","elite","AS4800","ID","PT Aplikanusa Lintasarta","218","LA EI","8080","socks4","86","1","2023-07-12T06:23:51.036Z","95","2596","2732"
"180.124.152.107","elite","AS4134","CN","Chinanet","280","Chinanet JS","8902","socks4","4799","1","2023-07-12T06:23:51.040Z","56","1587","2845"
"62.201.214.45","elite","AS44217","IQ","IQnet-SU","78","N/A","5678","socks4","184","81","2023-07-12T06:23:50.955Z","100","2793","2798"
"187.95.80.141","elite","AS262696","BR","Turbonet Telecomunicações","195","Turbonet Telecomunicações","3629","socks4","3291","1","2023-07-12T06:23:50.953Z","99","2839","2854"
"43.239.75.193","elite","AS133443","BD","COL","200","N/A","4145","socks4","4895","1","2023-07-12T06:23:50.952Z","99","2780","2819"
"93.171.224.57","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","49","PE TV and Radio Company Kentavr-TV","4153","socks4","3191","1","2023-07-12T06:23:46.237Z","99","2829","2854"
"86.57.181.122","elite","AS6697","BY","Republican Unitary Telecommunication Enterprise Beltelecom","50","Byfly Vitebsk","51801","socks4","1911","1","2023-07-12T06:23:46.137Z","97","2758","2845"
"109.125.132.244","elite","AS49100","IR","PTS-Network","192","N/A","30319","socks4","4405","1","2023-07-12T06:23:46.139Z","88","2498","2841"
"151.232.18.66","elite","AS58224","IR","Iran Telecommunication Company PJS","191","N/A","5678","socks4","4596","1","2023-07-12T06:23:46.142Z","84","2399","2857"
"203.32.121.161","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks5","5197","1","2023-07-12T06:23:46.135Z","100","2743","2743"
"94.139.170.82","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","173","FDI LTE Static","33848","socks4","4893","1","2023-07-12T06:23:40.647Z","99","2851","2871"
"93.171.224.56","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","49","PE TV and Radio Company Kentavr-TV","4153","socks4","5001","1","2023-07-12T06:23:40.733Z","99","2834","2861"
"161.35.229.155","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","61658","socks5","5095","1","2023-07-12T06:23:40.646Z","100","2810","2811"
"124.156.157.218","elite","AS132203","HK","Tencent Cloud Computing (Beijing) Co","250","N/A","35286","socks4","3312","1","2023-07-12T06:23:40.645Z","100","2841","2846"
"168.227.158.25","elite","AS52898","BR","Multipla ServiÔos Inteligentes","282","Multipla Serviços Inteligentes","4145","socks4","4795","1","2023-07-12T06:23:40.648Z","99","2847","2865"
"192.241.129.169","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","5566","socks4","5202","1","2023-07-12T06:23:40.650Z","62","1704","2767"
"203.24.108.231","elite","AS209242","CY","Cloudflare London, LLC","14","Lachtaristo Holdings Limited","80","socks4","1294","1","2023-07-12T06:23:40.649Z","100","2852","2852"
"51.68.87.73","elite","AS16276","FR","OVH SAS","8","OVH","45177","socks4","4707","1","2023-07-12T06:23:33.739Z","100","2808","2809"
"103.124.95.254","elite","AS131353","VN","NhanHoa Software company","194","NhanHoa Software company","55338","socks4","4596","1","2023-07-12T06:23:33.640Z","96","2730","2854"
"101.95.182.26","elite","AS4812","CN","China Telecom (Group)","298","Chinanet SH","5678","socks4","4905","1","2023-07-12T06:23:33.635Z","79","2254","2855"
"93.126.56.30","elite","AS44375","IR","Asmanfaraz Sepahan Company (P.J.S)","105","Asmanfaraz Sepahan Isdp","4153","socks4","4598","1","2023-07-12T06:23:33.636Z","99","2823","2854"
"206.72.206.45","elite","AS19318","US","Interserver, Inc","99","Interserver, Inc","1080","socks5","4799","1","2023-07-12T06:23:33.741Z","96","2690","2803"
"116.58.232.75","elite","AS131090","TH","CAT-BB","196","N/A","4145","socks4","4586","1","2023-07-12T06:23:33.641Z","70","1981","2840"
"41.184.106.17","elite","AS29091","NG","ipNX Nigeria Limited","172","ipNX NIGERIA LIMITED","5678","socks4","5206","1","2023-07-12T06:23:33.639Z","96","2721","2836"
"190.128.203.214","elite","AS23201","PY","Telecel S.A.","285","Telecel S.A","3128","socks4","4995","1","2023-07-12T06:23:33.642Z","100","2798","2801"
"139.59.58.141","elite","AS14061","IN","DigitalOcean","191","DigitalOcean, LLC","7497","socks5","2387","1","2023-07-12T06:23:28.434Z","86","2368","2744"
"190.214.50.158","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","169","Comite De LA Unidad De Hemodialisis De LA Provinci","55617","socks5","1087","1","2023-07-12T06:23:28.442Z","99","2722","2760"
"188.114.98.25","elite","AS13335","NL","Cloudflare, Inc.","2","CloudFlare, Inc.","443","socks4","4900","1","2023-07-12T06:23:28.438Z","100","2762","2762"
"14.102.64.209","elite","AS18002","IN","WORLDPHONE","148","N/A","60616","socks4","4987","1","2023-07-12T06:23:28.440Z","99","2837","2863"
"80.78.23.20","elite","AS39287","SE","ab stract","93","ab stract","80","socks4","3902","1","2023-07-12T06:23:28.534Z","88","2498","2844"
"84.244.69.29","elite","AS25248","CZ","BlueTone-CRa","31","DATRON, a.s.","443","socks4","4401","1","2023-07-12T06:23:28.439Z","100","2819","2825"
"177.36.35.166","elite","AS262907","BR","BRASIL TECNOLOGIA E PARTICIPACOES S/A","291","BRASIL TECNOLOGIA E PARTICIPACOES S/A","5678","socks4","4599","1","2023-07-12T06:23:23.134Z","99","2833","2849"
"69.163.160.191","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","41610","socks5","4788","1","2023-07-12T06:23:23.139Z","100","2806","2806"
"36.90.119.63","elite","AS7713","ID","PT. Telekomunikasi Indonesia","186","Telekomunikasi Indonesia","4153","socks4","3691","1","2023-07-12T06:23:17.745Z","87","2501","2859"
"38.127.179.236","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","2093","socks5","921","82","2023-07-12T06:23:17.933Z","100","2766","2767"
"185.206.80.227","elite","AS210021","IQ","DIL Technology Limited","82","Diltechnology","10801","socks4","2700","1","2023-07-12T06:23:17.848Z","40","1142","2861"
"91.93.143.10","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","68","Superonline Iletisim Hizmetleri","4153","socks4","4197","82","2023-07-12T06:23:17.833Z","99","2807","2835"
"178.32.116.232","elite","AS16276","FR","OVH SAS","5","OVH ISP","57123","socks5","4908","1","2023-07-12T06:23:17.849Z","100","2806","2806"
"188.255.238.255","elite","AS52116","RS","Orion Telekom ISP IP network","71","Orion Telekom Tim d.o.o.Beograd","5678","socks4","5197","1","2023-07-12T06:23:17.850Z","90","2565","2865"
"47.243.207.3","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","271","Alibaba.com LLC","33967","socks5","3794","1","2023-07-12T06:23:17.746Z","54","1536","2823"
"114.235.28.76","elite","AS4134","CN","Chinanet","200","Chinanet JS","2829","socks4","4799","1","2023-07-12T06:23:17.835Z","56","1553","2785"
"38.127.179.195","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","46656","socks4","4792","1","2023-07-12T06:23:12.536Z","100","2790","2793"
"170.233.176.128","elite","AS52268","AR","Copelco Ltda.","246","Copelco Ltda.","4145","socks4","5002","1","2023-07-12T06:23:12.336Z","97","2731","2802"
"45.196.150.167","elite","AS7018","US","AT&T Services, Inc.","87","AQUA Networks Limited","5432","socks4","2797","1","2023-07-12T06:23:12.344Z","97","2726","2796"
"103.81.15.113","elite","AS135792","IN","Syswall Telecom Pvt. Ltd.","191","Syswall Telecom Pvt. Ltd.","44832","socks4","4085","1","2023-07-12T06:23:12.347Z","99","2832","2851"
"78.38.108.195","elite","AS58224","IR","Iran Telecommunication Company PJS","199","Abol Medical University","1080","socks5","4507","1","2023-07-12T06:23:12.337Z","74","2103","2845"
"81.169.187.194","elite","AS6724","DE","Strato AG","21","Strato AG","80","socks5","4998","1","2023-07-12T06:23:12.345Z","100","2833","2835"
"43.134.238.25","elite","AS132203","SG","Aceville Pte.ltd","319","N/A","443","socks4","4985","2","2023-07-12T06:23:12.250Z","91","2577","2821"
"168.195.50.225","elite","AS265420","BR","Antonio Carlos Atella Ferreira Junior","199","Antonio Carlos Atella Ferreira Junior","4153","socks4","5088","86","2023-07-12T06:23:07.035Z","99","2788","2822"
"185.162.95.125","elite","AS41722","RU","MIRAN-VS","48","N/A","10001","socks4","4598","1","2023-07-12T06:23:07.036Z","100","2784","2788"
"88.198.219.62","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","80","socks4","4589","85","2023-07-12T06:23:06.950Z","100","2772","2775"
"140.83.52.194","elite","AS31898","JP","Oracle Corporation","292","Oracle Cloud Infrastructure (ap-osaka-1)","59793","socks5","4498","3","2023-07-12T06:23:06.947Z","98","2798","2843"
"95.182.78.11","elite","AS50648","UA","PE UAinet","46","PE UAinet","5678","socks4","4991","1","2023-07-12T06:23:06.943Z","99","2799","2822"
"45.7.177.240","elite","AS266626","BR","Litoral Telecom","232","Litoral Telecom","39867","socks4","4998","2","2023-07-12T06:23:06.949Z","99","2708","2747"
"223.25.98.82","elite","AS9341","ID","PT Indonesia Comnets Plus","218","Sinerginet","5678","socks4","4990","1","2023-07-12T06:23:06.948Z","87","2483","2843"
"103.109.59.209","elite","AS151080","BD","Skynet Chowmuhani","248","N/A","1080","socks4","4990","1","2023-07-12T06:23:01.643Z","99","2780","2818"
"1.2.209.194","elite","AS23969","TH","TOT Public Company Limited","184","TOT Public Company Limited","4145","socks4","4701","1","2023-07-12T06:23:01.641Z","71","2026","2854"
"202.124.43.249","elite","AS9902","KH","NeocomISP Limited","181","NeocomISP Limited","4145","socks4","4507","1","2023-07-12T06:23:01.733Z","100","2831","2838"
"195.231.72.145","elite","AS202242","IT","Aruba S.p.A.","23","Aruba S.p.A. - Cloud Services","1080","socks4","1301","1","2023-07-12T06:23:01.737Z","99","2823","2862"
"170.246.196.42","elite","AS52974","BR","Henet Telecomunicacoes Ltda","291","Henet Telecomunicacoes Ltda","4153","socks4","4903","1","2023-07-12T06:23:01.646Z","86","2450","2860"
"122.146.1.61","elite","AS9919","TW","New Century InfoComm Tech. Co., Ltd.","284","NCICNET","1080","socks5","5195","1","2023-07-12T06:22:56.249Z","100","2797","2800"
"167.99.0.66","elite","AS14061","US","DigitalOcean, LLC","86","Digital Ocean","5262","socks4","1396","82","2023-07-12T06:22:56.248Z","100","2789","2799"
"80.191.185.156","elite","AS58224","IR","Iran Telecommunication Company PJS","135","Guilan Telecommunication Company","5678","socks4","4687","1","2023-07-12T06:22:56.245Z","86","2452","2857"
"202.159.35.97","elite","AS9340","ID","PT IndoInternet","181","N/A","443","socks4","4902","1","2023-07-12T06:22:56.246Z","100","2810","2815"
"110.77.163.63","elite","AS131090","TH","CAT-BB","191","N/A","4145","socks4","4596","1","2023-07-12T06:22:56.241Z","86","2405","2794"
"190.239.23.33","elite","AS6147","PE","Telefonica del Peru","188","PE-TDPERX5-LACNIC","5678","socks4","4901","1","2023-07-12T06:22:56.243Z","97","2692","2789"
"1.2.187.124","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","5006","1","2023-07-12T06:22:51.041Z","63","1778","2814"
"110.34.166.184","elite","AS45652","SG","Krypt Technologies","299","Vpls Sin1","4153","socks4","3593","1","2023-07-12T06:22:51.049Z","99","2816","2849"
"192.154.195.76","elite","AS64200","US","Vivid-hosting LLC","197","Vivid-hosting LLC","9000","socks5","4687","1","2023-07-12T06:22:51.050Z","100","2727","2731"
"114.242.116.61","elite","AS4808","CN","China Unicom Beijing Province Network","248","N/A","4145","socks4","5182","1","2023-07-12T06:22:51.045Z","79","2236","2820"
"14.207.123.29","elite","AS45629","TH","Triple T Broadband Public Company Limited","152","Triple T Broadband Public Company Limited","8080","socks4","5189","1","2023-07-12T06:22:45.943Z","97","2698","2773"
"45.196.151.97","elite","AS7018","US","AT&T Services","94","AQUA Networks Limited","5432","socks5","4490","2","2023-07-12T06:22:45.947Z","98","2732","2800"
"193.111.198.193","elite","AS24961","DE","myLoc managed IT AG","14","myLoc managed IT AG","54825","socks5","5006","2","2023-07-12T06:22:45.941Z","100","2851","2851"
"45.196.148.67","elite","AS7018","US","AT&T Services","86","AQUA Networks Limited","5432","socks4","4913","1","2023-07-12T06:22:45.944Z","97","2724","2802"
"85.25.93.172","elite","AS8972","FR","Host Europe GmbH","8","HE Mass","5566","socks4","3897","1","2023-07-12T06:22:45.940Z","97","2754","2825"
"222.241.144.17","elite","AS4134","CN","Chinanet","227","N/A","2080","socks5","5086","1","2023-07-12T06:22:40.546Z","44","1211","2766"
"85.143.173.198","elite","AS201848","RU","Trader soft LLC","47","Trader soft LLC","8444","socks5","4898","82","2023-07-12T06:22:40.647Z","99","2833","2861"
"89.25.23.210","elite","AS41313","BG","NOVATEL-AS","51","\"NOVATEL\" EOOD","4153","socks4","4601","1","2023-07-12T06:22:40.646Z","100","2857","2857"
"50.201.133.122","elite","AS7922","US","Comcast Cable Communications, LLC","99","Comcast Cable Communications, LLC","3355","socks4","4995","1","2023-07-12T06:22:40.550Z","100","2859","2862"
"103.47.93.246","elite","AS134058","IN","Broban Internet Services Pvt.ltd","198","Broban  PVT Ltd.","1080","socks4","3696","1","2023-07-12T06:22:40.542Z","99","2744","2773"
"64.225.28.9","elite","AS14061","US","DigitalOcean, LLC","79","DigitalOcean, LLC","52700","socks5","2486","1","2023-07-12T06:22:40.545Z","22","607","2729"
"38.127.173.249","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","55994","socks5","3905","1","2023-07-12T06:22:35.341Z","100","2772","2773"
"103.86.1.2","elite","AS136371","IN","Airwir Technologies Private Limited","189","Airwir Technologies Private Limited","4145","socks4","4901","1","2023-07-12T06:22:35.149Z","100","2820","2822"
"91.226.35.37","elite","AS56622","UA","DVS-Sat LLC","36","DVS-Sat LLC","5678","socks5","4898","1","2023-07-12T06:22:35.239Z","98","2805","2851"
"194.48.151.217","elite","AS204396","ES","OLVERA CA.T.V., S. COOP. AND.","81","OLVERA CA.T.V., S. COOP","5678","socks4","3808","1","2023-07-12T06:22:35.340Z","65","1824","2820"
"113.160.203.118","elite","AS45899","VN","VietNam Post and Telecom Corporation","298","Vietnam Posts and Telecommunications Group","5678","socks4","4296","86","2023-07-12T06:22:35.237Z","98","2792","2850"
"202.165.46.14","elite","AS17538","ID","Circlecom","194","N/A","5678","socks4","5094","1","2023-07-12T06:22:35.148Z","99","2824","2840"
"204.57.112.5","elite","AS22403","US","Trinicom Communications","106","Level 3","80","socks5","4992","1","2023-07-12T06:22:35.233Z","100","2804","2804"
"131.108.118.27","elite","AS264353","BR","Catalão Bandnet Serviços Multimídia LTDA - ME","213","Catalão Bandnet Serviços Multimídia LTDA - ME","2022","socks4","5201","1","2023-07-12T06:22:35.235Z","99","2763","2780"
"43.153.29.34","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","186","Tencent Cloud Computing","443","socks5","4196","1","2023-07-12T06:22:30.041Z","64","1807","2821"
"190.113.12.75","elite","AS22860","CL","Servicios Internet Ltda","199","TECNOERA-WEBHOSTING","3389","socks5","4501","1","2023-07-12T06:22:30.040Z","100","2794","2800"
"102.64.116.100","elite","AS328500","CG","A.M.C Telecom","191","A.M.C Telecom","4145","socks4","4895","1","2023-07-12T06:22:24.536Z","98","2802","2850"
"103.213.245.105","elite","AS18254","HK","Klayer LLC","195","N/A","4003","socks5","4591","1","2023-07-12T06:22:24.736Z","89","2484","2789"
"45.8.107.115","elite","AS209242","DE","Cloudflare London","18","Araxio Development N.V","80","socks5","4900","79","2023-07-12T06:22:24.540Z","100","2765","2765"
"49.70.225.42","elite","AS4134","CN","Chinanet","228","Chinanet JS","44844","socks5","5096","2","2023-07-12T06:22:24.543Z","53","1494","2801"
"167.172.23.19","elite","AS14061","US","DigitalOcean, LLC","79","DigitalOcean, LLC","64065","socks5","2190","1","2023-07-12T06:22:24.737Z","99","2841","2857"
